,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
10000,42,Feb 89,J.W. Russell,J.W. Russell,xx,xx,52,24
10001,42,Feb 89,A. Russell,J.D.H. Dickson,42,May 89,51,41
10002,42,Feb 89,Artemas Martin,D. Biddle,43,Jul 90,54,8
10003,42,Feb 89,E. Lemoine,"P.H. Schoute
J.J. Barniville","42
42","May 89
May 89","51
51",41
10004,42,Feb 89,Hugh W. Segar,"H.E. Palliser
G.G. Storr","42
42","Jul 89
Jul 89","52
52",47
10005,42,Feb 89,R. Lachlan,"H.W. Segar
C. Bickerdike","42
42","Sep 89
Sep 89","52
52",48
10006,42,Feb 89,T.P. Kirkman,,,,,10
10007,42,Feb 89,R. Tucker,R. Tucker,42,Jun 89,51,41
10008,42,Feb 89,D. Biddle,James McMahon,xx,xx,50,61
10009,42,Feb 89,W.T. Wellacot,"W.J. Greenstreet
E. Rutter","42
42","Sep 89
Sep 89","52
52",41
10010,42,Feb 89,R.W.D. Christie,,,,,41
10011,42,Feb 89,G.G. Storr,"W.J. Greenstreet
R. Knowles","42
42","May 89
May 89","51
51",86
10012,42,Feb 89,W.J. Greenstreet,"P.H. Schoute
F.P. Matz","42
42","May 89
May 89","51
51",44
10013,42,Feb 89,E.M. Langley,"P.H. Schoute
J.J. Barniville","42
42","May 89
May 89","51
51",41
10014,42,Feb 89,Capitaine de Rocquigny,"Thomas S. Fiske
R.W.D. Christie","42
42","May 89
May 89","51
51",9
10015,42,Feb 89,F.R.J. Hervey,F.R.J. Hervey,42,Dec 89,52,41
10016,42,Feb 89,A.E. Jolliffe,"P.H. Schoute
G.E. Crawford","42
42","May 89
May 89","51
51",48
10017,42,Feb 89,R. Knowles,"W.S. Foster
G.G. Storr","43
43","Jan 90
Jan 90","53
53",45
10018,42,Feb 89,J. Lemaire,"E.M. Langley
R. Knowles","42
42","Sep 89
Sep 89","52
52",41
10019,42,Feb 89,Syamadas Mukhopadhyay,"R.H.W. Whapham
E.M. Langley","xx
xx","xx
xx","51
51",41
10020,42,Feb 89,Sarah Marks,"W.J. Greenstreet
H.W. Segar","xx
xx","xx
xx","52
52",41
10021,42,Feb 89,L. Bénézech,"J.C. St. Clair
L. Wiener","xx
xx","xx
xx","56
56",9
10022,42,Feb 89,R. Soreau,"J.J. Barniville
Prof. Emmerich","xx
xx","xx
xx","55
55",9
10023,42,Feb 89,P. Brasseur,"Ignacio Beyens
J.C. St. Clair","xx
xx","xx
xx","54
54",9
10024,42,Feb 89,J. Cirilli,"J.C. St. Clair
G.E. Crawford","42
42","May 89
May 89","51
51",41
10025,42,Mar 89,J.J. Sylvester,"J.H.D. Dickson
Prof. Schoute","42
42","May 89
May 89","51
51",86
10026,42,Mar 89,Prof. Mannheim,"R.W. Genese
F.R.J. Hervey","42
42","May 89
May 89","51
51",76
10027,42,Mar 89,Abinash Chandra Basû,"J.D.H. Dickson
R. Knowles","42
42","Jun 89
Jun 89","51
51",22
10028,42,Mar 89,Prof. Décamps,"J.C. St. Clair
R.W. Genese","42
42","Jul 89
Jul 89","52
52",41
10029,42,Mar 89,Prof. Thorin,,,,,12
10030,42,Mar 89,Prof. Steggall,"F.R.J. Hervey
P.H. Schoute","42
42","May 89
May 89","51
51",41
10031,42,Mar 89,Prof. Déprez,"Ignacio Beyens
R. Knowles","xx
xx","xx
xx","53
53",41
10032,42,Mar 89,R.W. Genese,"L. Wiener
R.H.W. Whapham","xx
xx","xx
xx","52
52",45
10033,42,Mar 89,G. de Longchamps,H.J. Woodall,44,Dec 91,56,45
10034,42,Mar 89,Prof. Morley,"W.J.C. Sharp
Sarah Marks","42
42","Jun 89
Jun 89","51
51",44
10035,42,Mar 89,Prof. Gob,"P.H. Schoute
A.M. Nash","42
42","Jun 89
Jun 89","51
51",41
10036,42,Mar 89,W.H.H. Hudson,T.R. Terry,42,Oct 89,52,17
10037,42,Mar 89,Ignacio Beyens,"R. Tucker
R. Knowles","42
42","May 89
May 89","51
51",41
10038,42,Mar 89,E. Bordage,"J.J. Barniville
L. Wiener","xx
xx","xx
xx","53
53",44
10039,42,Mar 89,Prof. Catalan,,,,,61
10040,42,Mar 89,J. Wolstenholme,,,,,46
10041,42,Mar 89,Prof. Emmerich,K.J. Sanjána,58,Feb 05,83,41
10042,42,Mar 89,Prof. Neuberg,L. Wiener,42,Aug 89,52,41
10043,42,Mar 89,P.H. Schoute,,,,,41
10044,42,Mar 89,Editor,G.B.M. Zerr,xx,xx,55,13
10045,42,Mar 89,R. Tucker,R. Tucker,42,Jun 89,51,41
10046,42,Mar 89,Maurice D’Ocagne,"R. Knowles
N. Sarkar
J. Barniville","xx
xx
xx","xx
xx
xx","52
52
53",48
10047,42,Mar 89,Morgan Brierley,"Anthony Traill
H.J. Woodall","42
42","Jul 89
Jul 89","52
52",10
10048,42,Mar 89,Dr. Traill,"Anthony Traill
H.J. Woodall","42
42","Jul 89
Jul 89","52
52",10
